# Table of Angular offsets between Transit Crossings
# of the Galactic Plane
# Glen Langston -- NSF -- glangsto@nsf.gov
#  Dec     RA1     RA2   Delta RA  Lon1    Lon2
#  (d)     (d)     (d)     (d)      (d)     (d) 
 -90.00  192.83  193.93    1.10   302.9   303.4 
 -89.50  192.83  193.93    1.10   302.9   303.4 
 -89.00  192.83  193.93    1.10   302.9   303.4 
 -88.50  192.83  193.93    1.10   302.9   303.4 
 -87.99  192.83  193.93    1.10   302.9   303.4 
 -87.49  192.83  193.93    1.10   302.9   303.4 
 -86.99  192.83  193.93    1.10   302.9   303.4 
 -86.49  192.83  193.93    1.10   302.9   303.4 
 -85.99  192.83  193.93    1.10   302.9   303.4 
 -85.49  192.83  193.93    1.10   302.9   303.4 
 -84.99  192.83  193.93    1.10   302.9   303.4 
 -84.48  192.83  193.93    1.10   302.9   303.4 
 -83.98  192.83  193.93    1.10   302.9   303.4 
 -83.48  192.83  193.93    1.10   302.9   303.4 
 -82.98  192.83  193.93    1.10   302.9   303.4 
 -82.48  192.83  193.93    1.10   302.9   303.4 
 -81.98  192.83  193.93    1.10   302.9   303.4 
 -81.48  192.83  193.93    1.10   302.9   303.4 
 -80.97  192.83  193.93    1.10   302.9   303.4 
 -80.47  192.83  193.93    1.10   302.9   303.4 
 -79.97  192.83  193.93    1.10   302.9   303.4 
 -79.47  192.83  193.93    1.10   302.9   303.4 
 -78.97  192.83  193.93    1.10   302.9   303.4 
 -78.47  192.83  193.93    1.10   302.9   303.4 
 -77.97  192.83  193.93    1.10   302.9   303.4 
 -77.47  192.83  193.93    1.10   302.9   303.4 
 -76.96  192.83  193.93    1.10   302.9   303.4 
 -76.46  192.83  193.93    1.10   302.9   303.4 
 -75.96  192.83  193.93    1.10   302.9   303.4 
 -75.46  192.83  193.93    1.10   302.9   303.4 
 -74.96  192.83  193.93    1.10   302.9   303.4 
 -74.46  192.83  193.93    1.10   302.9   303.4 
 -73.96  192.83  193.93    1.10   302.9   303.4 
 -73.45  192.83  193.93    1.10   302.9   303.4 
 -72.95  192.83  193.93    1.10   302.9   303.4 
 -72.45  192.83  193.93    1.10   302.9   303.4 
 -71.95  192.83  193.93    1.10   302.9   303.4 
 -71.45  192.83  193.93    1.10   302.9   303.4 
 -70.95  192.83  193.93    1.10   302.9   303.4 
 -70.45  192.83  193.93    1.10   302.9   303.4 
 -69.94  192.83  193.93    1.10   302.9   303.4 
 -69.44  192.83  193.93    1.10   302.9   303.4 
 -68.94  192.83  193.93    1.10   302.9   303.4 
 -68.44  192.83  193.93    1.10   302.9   303.4 
 -67.94  192.83  193.93    1.10   302.9   303.4 
 -67.44  192.83  193.93    1.10   302.9   303.4 
 -66.94  192.83  193.93    1.10   302.9   303.4 
 -66.43  192.83  193.93    1.10   302.9   303.4 
 -65.93  192.83  193.93    1.10   302.9   303.4 
 -65.43  192.83  193.93    1.10   302.9   303.4 
 -64.93  192.83  193.93    1.10   302.9   303.4 
 -64.43  192.83  193.93    1.10   302.9   303.4 
 -63.93  192.83  193.93    1.10   302.9   303.4 
 -63.43  192.83  193.93    1.10   302.9   303.4 
 -62.92  192.83  193.93    1.10   302.9   303.4 
 -62.42  181.96  203.71   21.75   297.9   307.9 
 -61.92  176.71  208.96   32.25   295.4   310.4 
