# Table of Angular offsets between Transit Crossings
# of the Galactic Plane
# Glen Langston -- NSF -- glangsto@nsf.gov
#  Dec     RA1     RA2   Delta RA  Lon1    Lon2
#  (d)     (d)     (d)     (d)      (d)     (d) 
 -90.00  192.36  193.15    0.79   302.7   303.1 
 -89.82  192.36  193.15    0.79   302.7   303.1 
 -89.64  192.36  193.15    0.79   302.7   303.1 
 -89.46  192.36  193.15    0.79   302.7   303.1 
 -89.28  192.36  193.15    0.79   302.7   303.1 
 -89.10  192.36  193.15    0.79   302.7   303.1 
 -88.92  192.36  193.15    0.79   302.7   303.1 
 -88.74  192.36  193.15    0.79   302.7   303.1 
 -88.56  192.36  193.15    0.79   302.7   303.1 
 -88.38  192.36  193.15    0.79   302.7   303.1 
 -88.20  192.36  193.15    0.79   302.7   303.1 
 -88.02  192.36  193.15    0.79   302.7   303.1 
 -87.84  192.36  193.15    0.79   302.7   303.1 
 -87.66  192.36  193.15    0.79   302.7   303.1 
 -87.48  192.36  193.15    0.79   302.7   303.1 
 -87.30  192.36  193.15    0.79   302.7   303.1 
 -87.12  192.36  193.15    0.79   302.7   303.1 
 -86.94  192.36  193.15    0.79   302.7   303.1 
 -86.76  192.36  193.15    0.79   302.7   303.1 
 -86.58  192.36  193.15    0.79   302.7   303.1 
 -86.40  192.36  193.15    0.79   302.7   303.1 
 -86.22  192.36  193.15    0.79   302.7   303.1 
 -86.04  192.36  193.15    0.79   302.7   303.1 
 -85.86  192.36  193.15    0.79   302.7   303.1 
 -85.68  192.36  193.15    0.79   302.7   303.1 
 -85.50  192.36  193.15    0.79   302.7   303.1 
 -85.32  192.36  193.15    0.79   302.7   303.1 
 -85.14  192.36  193.15    0.79   302.7   303.1 
 -84.95  192.36  193.15    0.79   302.7   303.1 
 -84.77  192.36  193.15    0.79   302.7   303.1 
 -84.59  192.36  193.15    0.79   302.7   303.1 
 -84.41  192.36  193.15    0.79   302.7   303.1 
 -84.23  192.36  193.15    0.79   302.7   303.1 
 -84.05  192.36  193.15    0.79   302.7   303.1 
 -83.87  192.36  193.15    0.79   302.7   303.1 
 -83.69  192.36  193.15    0.79   302.7   303.1 
 -83.51  192.36  193.15    0.79   302.7   303.1 
 -83.33  192.36  193.15    0.79   302.7   303.1 
 -83.15  192.36  193.15    0.79   302.7   303.1 
 -82.97  192.36  193.15    0.79   302.7   303.1 
 -82.79  192.36  193.15    0.79   302.7   303.1 
 -82.61  192.36  193.15    0.79   302.7   303.1 
